time_day,sensor_a,sensor_b,sensor_c,sensor_d,sensor_e,sensor_f,sensor_g,sensor_h,sensor_i,sensor_j,sensor_k,sensor_l,sensor_m,year,detected_a,detected_b,mon
12,-10.523174,0,0.906952,0.623946,-1400,4919,-0.000562,1.57E+12,1,1,1,1,210,2019,NaN,-1.03E+09,12
13,-16.274578,0,0.898174,0.614817,-1500,4663,-0.000562,1.57E+12,0,1,1,1,250,2019,NaN,-1.03E+09,12
